aluminium,ammonia,arsenic,cadmium,chloramine,copper,bacteria,viruses,lead,nitrites,perchlorate,radium,selenium,silver,uranium
0.09,12.17,0.07,0.01,0.26,0.07,0.0,0.54,0.023,0.72,4.45,0.25,0.03,0.03,0.09
0.06,28.27,0.07,0.02,0.26,1.5,0.65,0.65,0.125,1.67,1.63,2.76,0.06,0.08,0.06
0.01,21.68,0.02,0.06,0.08,1.73,0.42,0.003,0.064,2.43,1.05,6.64,0.06,0.02,0.01
0.0,6.61,0.01,0.06,0.29,0.09,0.0,0.89,0.02,0.39,0.2,6.08,0.05,0.05,0.06
0.07,1.66,0.05,0.05,0.15,1.31,0.58,0.58,0.113,1.6,3.01,0.24,0.02,0.09,0.0
0.14,5.44,0.31000000000000005,0.05,5.99,0.02,0.24,0.004,0.154,1.54,14.66,0.02,0.06,0.45,0.01
1.0,15.67,0.01,0.001,0.75,0.76,0.28,0.007,0.027,1.78,1.17,3.75,0.07,0.02,0.06
0.02,17.32,0.07,0.09,0.13,0.59,0.2,0.001,0.168,0.83,11.55,0.56,0.04,0.05,0.08
0.04,24.11,0.13,0.07,3.87,0.02,0.38,0.009,0.128,1.75,22.07,1.34,0.01,0.13,0.07
1.0,19.7,0.2,0.05,2.94,1.48,0.0,0.74,0.074,1.68,3.45,2.99,0.05,0.13,0.03
0.07,0.55,0.01,0.01,0.01,0.06,0.0,0.0,0.008,1.81,10.76,6.26,0.08,0.09,0.06
0.1,27.2,0.01,0.001,6.7,1.14,0.02,0.006,0.019,1.77,54.14,5.12,0.07,0.42,0.04
1.0,9.82,0.31000000000000005,0.06,2.07,1.76,0.92,0.92,0.105,1.27,1.0,5.7,0.09,0.06,0.07
0.02,18.68,0.01,0.05,0.29,1.9,0.84,0.84,0.028,1.83,3.47,5.41,0.02,0.02,0.05
0.04,20.8,0.05,0.1,0.04,0.24,0.09,0.008,0.17,1.53,0.49,0.96,0.02,0.08,0.02
1.0,5.79,0.001,0.005,2.1,1.74,0.24,0.004,0.199,1.66,16.9,5.19,0.07,0.44,0.08
0.09,29.11,0.0,0.05,0.18,0.05,0.0,0.64,0.1,0.95,10.69,0.28,0.05,0.0,0.08
1.0,18.17,0.001,0.001,7.87,1.85,0.0,0.0,0.047,1.38,4.77,3.95,0.05,0.46,0.0
0.03,11.44,0.07,0.08,0.32,1.5,0.8,0.8,0.193,1.72,1.18,0.59,0.1,0.08,0.04
0.02,9.59,0.08,0.05,0.11,0.4,0.87,0.87,0.126,1.39,3.36,2.41,0.03,0.06,0.08
1.0,2.4,0.3,0.02,3.34,1.79,0.0,0.008,0.03,1.74,29.68,4.23,0.08,0.39,0.04
0.05,9.59,0.07,0.02,6.95,1.44,0.23,0.004,0.162,1.96,21.79,7.28,0.02,0.24,0.02
0.07,11.01,0.0,0.0,0.03,1.04,0.07,0.006,0.176,1.15,5.09,1.69,0.03,0.07,0.05
0.03,24.79,0.22,0.12,5.19,0.07,0.76,0.76,0.043,2.02,6.84,3.13,0.08,0.27,0.0
0.03,0.91,0.05,0.0,0.06,0.05,0.13,0.0,0.074,1.72,8.97,7.15,0.09,0.08,0.0
1.0,2.21,0.19,0.04,4.67,1.0,0.49,0.001,0.031,1.9,26.56,3.93,0.09,0.43,0.03
0.04,19.45,0.07,0.05,0.26,1.91,0.14,0.002,0.132,1.09,5.94,0.27,0.02,0.04,0.02
0.07,12.48,0.03,0.003,4.79,0.24,0.0,0.008,0.196,1.65,40.67,5.94,0.03,0.1,0.07
0.05,21.73,0.06,0.09,0.32,0.16,0.63,0.63,0.026,0.94,1.3,6.13,0.07,0.0,0.0
0.0,0.72,0.0,0.08,0.45,0.0,0.0,0.0,0.17,1.07,0.62,3.76,0.02,0.06,0.06
1.0,8.81,0.05,0.004,2.37,1.89,0.36,0.003,0.178,1.41,23.35,0.91,0.02,0.11,0.06
0.18,15.0,0.31000000000000005,0.12,6.52,0.16,0.76,0.76,0.168,1.29,30.22,5.31,0.07,0.32,0.0
1.0,2.88,0.31000000000000005,0.04,3.33,1.53,0.93,0.93,0.075,1.8,16.36,4.37,0.05,0.22,0.05
0.06,4.79,0.31000000000000005,0.06,3.83,0.08,0.57,0.57,0.196,1.47,32.77,6.43,0.01,0.31,0.08
0.06,23.64,0.0,0.04,0.38,0.07,0.0,0.79,0.085,0.18,1.79,0.42,0.06,0.06,0.08
0.5,29.7,0.07,0.07,2.43,1.46,0.76,0.76,0.083,1.61,30.07,0.96,0.07,0.4,0.06
0.02,16.4,0.1,0.02,0.04,0.19,0.0,0.0,0.099,0.15,2.8,0.65,0.06,0.09,0.07
1.0,8.07,0.04,0.006,0.76,0.39,0.58,0.58,0.154,1.79,25.43,0.59,0.0,0.33,0.04
0.21,1.97,0.31000000000000005,0.01,1.88,0.94,0.28,0.009,0.023,1.48,50.99,4.23,0.06,0.03,0.04
0.02,15.42,0.1,0.04,0.1,1.35,0.0,0.006,0.193,0.64,8.13,0.82,0.09,0.07,0.05
0.09,24.14,0.05,0.02,0.18,0.13,0.65,0.65,0.168,1.0,12.14,0.16,0.05,0.04,0.0
0.07,2.59,0.06,0.06,0.06,0.1,0.0,0.0,0.155,2.12,3.96,1.05,0.02,0.04,0.02
0.1,0.25,0.02,0.03,0.27,0.16,0.0,0.0,0.093,1.93,0.35,6.84,0.05,0.02,0.05
0.02,27.84,0.31000000000000005,0.1,4.55,0.06,0.4,0.002,0.001,1.83,15.9,3.83,0.07,0.2,0.03
1.0,15.34,0.31000000000000005,0.12,1.54,0.79,0.0,0.004,0.118,1.66,11.63,5.38,0.09,0.15,0.03
0.03,24.62,0.31000000000000005,0.03,7.66,0.06,0.04,0.001,0.075,2.19,7.03,1.98,0.03,0.47,0.06
0.1,18.54,0.31000000000000005,0.03,4.26,0.02,0.92,0.92,0.011,1.98,52.48,4.51,0.0,0.12,0.07
0.02,1.94,0.08,0.05,0.05,0.05,0.0,0.0,0.107,2.06,0.89,3.91,0.08,0.03,0.04
0.07,2.58,0.03,0.003,5.67,1.25,0.78,0.78,0.112,1.23,6.7,3.04,0.07,0.32,0.06
1.0,21.86,0.31000000000000005,0.08,0.42,0.17,0.0,0.0,0.011,1.8,22.5,1.3,0.08,0.48,0.08
0.02,28.28,0.04,0.08,0.07,1.73,0.0,0.003,0.064,0.02,0.47,4.84,0.06,0.06,0.01
0.07,29.08,0.06,0.01,0.34,0.08,0.0,0.73,0.086,0.31,1.13,3.78,0.07,0.01,0.03
0.06,15.8,0.06,0.06,0.27,1.18,0.42,0.009,0.087,1.53,3.56,0.72,0.02,0.04,0.06
1.0,24.04,0.001,0.005,5.24,1.33,0.81,0.81,0.041,1.81,14.78,1.29,0.0,0.44,0.07
0.15,29.04,0.02,0.007,3.3,0.95,0.94,0.94,0.07,1.36,27.63,4.67,0.07,0.27,0.06
0.12,2.74,0.31000000000000005,0.1,2.8,1.99,0.86,0.86,0.047,1.75,31.79,3.95,0.04,0.14,0.02
0.01,18.02,0.01,0.004,2.03,0.53,0.66,0.66,0.016,1.61,54.13,0.4,0.0,0.08,0.03
0.08,6.98,0.31000000000000005,0.08,8.54,0.08,0.41,0.001,0.001,1.69,55.86,3.54,0.08,0.17,0.05
0.0,0.03,0.01,0.006,0.21,0.58,0.53,0.53,0.183,1.21,25.24,6.53,0.07,0.27,0.05
1.0,26.15,0.03,0.008,0.0,0.62,0.12,0.001,0.036,1.62,10.48,4.55,0.02,0.35,0.0
0.1,7.29,0.04,0.02,0.03,1.32,0.0,0.61,0.174,0.65,8.55,1.22,0.06,0.03,0.09
1.0,8.96,0.31000000000000005,0.02,6.86,1.35,0.29,0.008,0.198,2.55,18.85,4.9,0.06,0.16,0.01
0.01,2.95,0.02,0.01,0.09,0.08,0.63,0.0,0.128,1.94,0.47,2.77,0.02,0.05,0.06
1.0,0.35,0.04,0.005,6.06,1.4,0.0,0.0,0.15,1.17,58.17,4.51,0.02,0.18,0.08
1.0,12.36,0.31000000000000005,0.11,6.53,1.8,0.0,0.0,0.113,1.26,19.64,3.95,0.09,0.44,0.07
0.06,23.59,0.31000000000000005,0.08,2.74,0.76,0.65,0.65,0.044,2.0,0.47,5.22,0.03,0.48,0.02
0.02,15.44,0.1,0.03,0.11,0.08,0.0,0.73,0.138,0.29,2.16,2.24,0.03,0.05,0.07
0.1,27.76,0.05,0.1,5.86,0.47,0.4,0.0,0.02,1.91,44.78,2.13,0.07,0.28,0.08
0.02,8.36,0.01,0.002,3.13,1.18,0.28,0.0,0.069,1.65,56.99,1.73,0.05,0.43,0.04
0.01,1.76,0.09,0.05,0.1,1.0,0.49,0.001,0.031,1.87,0.95,1.66,0.09,0.1,0.03
0.04,8.51,0.31000000000000005,0.04,3.15,0.05,0.29,0.0,0.001,2.03,32.46,1.97,0.07,0.25,0.01
0.0,23.32,0.06,0.08,0.01,0.57,0.13,0.001,0.117,1.3,5.81,0.38,0.02,0.09,0.02
0.08,6.07,0.01,0.08,0.61,0.3,0.88,0.88,0.032,1.64,2.47,0.09,0.07,0.1,0.02
0.05,5.25,0.04,0.08,0.04,1.05,0.0,0.0,0.159,2.38,0.08,1.08,0.02,0.1,0.03
0.07,14.38,0.31000000000000005,0.09,3.33,0.09,0.29,0.005,0.001,1.82,11.21,7.78,0.06,0.16,0.04
0.04,7.38,0.28,0.08,1.39,0.02,0.15,0.008,0.042,1.63,3.23,1.71,0.05,0.49,0.02
0.03,7.38,0.0,0.05,0.23,0.87,0.0,0.001,0.02,0.22,6.21,4.04,0.08,0.08,0.07
1.0,18.67,0.01,0.002,2.8,1.58,0.0,0.0,0.057,1.59,19.72,6.83,0.07,0.04,0.07
0.1,9.45,0.09,0.06,0.12,1.99,0.25,0.008,0.085,2.57,3.96,0.5,0.09,0.06,0.03
0.05,20.24,0.02,0.002,0.12,1.05,0.39,0.001,0.159,1.81,23.36,6.3,0.02,0.39,0.03
0.02,0.15,0.09,0.02,0.05,0.74,0.0,0.0,0.181,1.43,3.88,1.11,0.03,0.02,0.0
0.08,10.26,0.07,0.08,0.3,0.3,0.38,0.002,0.131,1.28,7.71,0.86,0.06,0.02,0.05
0.01,21.84,0.03,0.04,0.34,0.05,0.24,0.002,0.011,1.38,4.66,0.86,0.04,0.03,0.07
0.09,1.48,0.02,0.08,0.07,1.39,0.0,0.001,0.194,0.05,0.29,4.63,0.08,0.0,0.02
0.04,1.68,0.04,0.07,0.32,0.86,0.85,0.85,0.101,1.06,0.71,3.94,0.04,0.04,0.06
1.0,25.85,0.31000000000000005,0.05,0.18,1.44,0.0,0.0,0.162,1.48,6.36,5.41,0.01,0.32,0.0
0.18,12.38,0.17,0.12,4.84,0.01,0.0,0.008,0.196,2.03,10.7,5.94,0.03,0.1,0.07
0.08,9.43,0.08,0.07,0.09,1.37,0.0,0.99,0.112,0.7,1.82,0.95,0.0,0.03,0.06
0.01,28.91,0.04,0.04,0.3,1.18,0.38,0.005,0.044,0.78,3.92,0.31,0.06,0.0,0.0
0.08,12.55,0.31000000000000005,0.11,7.61,1.0,0.36,0.005,0.1,2.06,47.85,1.8,0.04,0.29,0.03
1.0,14.83,0.31000000000000005,0.06,7.78,1.71,0.64,0.64,0.12,2.47,25.39,3.9,0.05,0.41,0.04
0.02,2.09,0.01,0.004,1.48,0.66,0.68,0.68,0.113,1.99,13.46,5.33,0.01,0.38,0.05
0.01,2.01,0.001,0.002,0.4,1.52,0.57,0.57,0.155,1.91,58.58,3.04,0.1,0.2,0.08
0.09,0.01,0.06,0.08,0.17,1.74,0.24,0.004,0.199,1.7,0.08,0.29,0.07,0.02,0.08
0.08,26.98,0.06,0.02,0.2,1.92,0.13,0.002,0.154,0.28,1.99,2.44,0.01,0.08,0.05
0.15,12.22,0.04,0.001,2.16,0.56,0.64,0.64,0.18,1.2,53.73,0.3,0.09,0.01,0.09
0.05,16.61,0.09,0.0,0.26,0.05,0.76,0.0,0.022,1.85,1.24,6.31,0.09,0.04,0.06
0.04,17.83,0.06,0.04,0.07,0.93,0.92,0.92,0.011,1.61,0.53,0.66,0.0,0.01,0.07
0.07,5.7,0.31000000000000005,0.12,6.6,0.65,0.79,0.79,0.118,2.19,18.59,2.35,0.01,0.31,0.06
0.03,14.89,0.07,0.04,0.05,0.93,0.0,0.0,0.167,1.33,3.48,0.13,0.07,0.06,0.0
0.08,14.38,0.05,0.06,0.28,1.45,0.52,0.52,0.197,1.45,3.45,1.66,0.06,0.08,0.08
1.0,19.29,0.03,0.002,4.68,1.37,0.09,0.006,0.034,1.63,44.04,6.75,0.06,0.42,0.02
0.08,10.69,0.08,0.02,0.12,1.21,0.38,0.007,0.008,0.15,0.05,0.72,0.02,0.0,0.09
0.08,21.31,0.08,0.02,0.27,0.35,0.0,0.71,0.061,0.58,8.77,1.69,0.05,0.01,0.03
1.0,18.07,0.31,0.05,8.07,1.85,0.18,0.0,0.047,1.58,20.5,3.95,0.05,0.46,0.0
0.37,29.23,0.02,0.006,3.29,0.01,0.77,0.77,0.144,1.93,29.0,2.27,0.02,0.25,0.07
1.0,29.04,0.31000000000000005,0.09,5.93,1.95,0.81,0.81,0.075,1.15,40.7,4.88,0.08,0.04,0.01
0.08,24.88,0.31000000000000005,0.02,5.62,0.77,0.37,0.001,0.147,2.11,39.5,0.09,0.02,0.37,0.06
0.0,1.1,0.03,0.09,0.23,1.31,0.58,0.58,0.113,0.03,5.68,0.45,0.02,0.06,0.0
0.02,20.09,0.09,0.03,0.16,1.98,0.93,0.93,0.152,0.78,0.42,0.45,0.04,0.02,0.03
0.07,9.54,0.04,0.005,6.89,1.15,0.77,0.77,0.019,1.93,31.13,1.95,0.03,0.32,0.0
0.08,0.1,0.01,0.06,0.1,0.04,0.21,0.001,0.089,1.07,1.04,0.37,0.04,0.06,0.06
0.07,15.49,0.03,0.07,0.03,1.08,0.89,0.89,0.08,1.22,0.69,3.1,0.06,0.0,0.08
0.07,25.65,0.08,0.02,0.01,1.56,0.38,0.005,0.013,1.0,1.91,0.35,0.05,0.07,0.08
0.05,10.26,0.31000000000000005,0.03,5.55,1.29,0.03,0.006,0.013,1.39,29.85,0.49,0.09,0.07,0.09
0.08,23.16,0.09,0.05,0.03,0.15,0.45,0.008,0.025,0.85,1.39,5.83,0.09,0.06,0.04
0.1,19.66,0.02,0.08,0.57,0.07,0.0,0.0,0.117,1.16,5.29,4.06,0.1,0.07,0.03
0.03,11.19,0.07,0.05,0.05,0.62,0.0,0.002,0.167,0.81,2.88,0.48,0.1,0.02,0.04
0.03,13.16,0.02,0.0,0.06,1.06,0.96,0.96,0.158,1.64,7.43,2.65,0.03,0.09,0.03
0.07,26.03,0.09,0.04,0.49,0.03,0.0,0.93,0.075,0.25,1.71,4.96,0.05,0.03,0.07
0.08,0.17,0.03,0.08,0.02,0.02,0.0,0.0,0.05,1.44,0.1,7.93,0.09,0.05,0.01
1.0,29.44,0.01,0.008,0.4,0.15,0.0,0.0,0.187,1.42,15.45,1.7,0.02,0.08,0.05
0.04,9.03,0.05,0.09,0.24,1.37,0.99,0.99,0.112,1.33,2.13,0.75,0.0,0.02,0.06
0.08,18.47,0.07,0.01,0.07,0.1,0.04,0.007,0.176,0.05,3.3,3.34,0.06,0.07,0.02
0.07,9.92,0.05,0.001,1.19,1.76,0.92,0.92,0.105,1.11,43.04,5.7,0.09,0.06,0.07
0.02,6.3,0.03,0.05,0.06,1.78,0.22,0.0,0.061,0.35,4.22,0.45,0.01,0.01,0.02
0.02,3.95,0.09,0.08,0.07,0.68,0.0,0.0,0.126,1.69,0.18,0.06,0.01,0.09,0.08
0.02,2.83,0.07,0.02,0.17,1.18,0.63,0.63,0.128,0.09,0.16,0.1,0.02,0.1,0.06
0.02,0.72,0.0,0.06,0.44,1.4,0.07,0.007,0.15,0.96,2.68,3.43,0.02,0.03,0.08
0.06,9.37,0.31000000000000005,0.01,3.3,0.86,0.39,0.005,0.016,1.43,40.8,6.62,0.01,0.43,0.04
0.04,11.97,0.07,0.02,0.1,1.97,0.0,0.001,0.06,0.89,1.98,0.41,0.03,0.04,0.05
1.0,19.39,0.03,0.001,1.73,0.36,0.69,0.69,0.005,1.56,31.08,1.45,0.07,0.32,0.05
0.02,19.84,0.07,0.04,0.15,0.61,0.42,0.005,0.162,1.45,0.13,0.07,0.05,0.08,0.05
1.0,9.51,0.31000000000000005,0.05,2.94,0.16,0.0,0.0,0.18,1.86,32.79,7.28,0.07,0.12,0.01
1.0,17.25,0.04,0.001,2.34,1.72,0.0,0.0,0.155,1.86,40.75,4.73,0.07,0.49,0.09
0.05,25.84,0.01,0.002,2.78,0.46,0.08,0.006,0.049,1.43,36.57,4.55,0.03,0.19,0.0
1.0,0.43,0.31000000000000005,0.03,5.35,0.69,0.04,0.0,0.139,1.8,25.02,1.03,0.04,0.23,0.07
1.0,26.0,0.01,0.004,2.77,0.66,0.0,0.0,0.16,1.61,13.88,7.56,0.02,0.47,0.06
0.02,5.21,0.04,0.09,0.31,0.67,0.74,0.74,0.169,0.18,0.17,2.3,0.06,0.07,0.02
0.02,2.9,0.07,0.08,0.5,0.03,0.0,0.001,0.091,0.64,4.15,0.42,0.04,0.02,0.09
0.01,28.94,0.02,0.05,0.04,0.05,0.0,0.004,0.009,0.64,1.49,4.23,0.05,0.03,0.09
1.0,10.15,0.04,0.001,7.97,1.98,0.06,0.008,0.101,1.69,5.2,5.63,0.04,0.12,0.01
0.07,4.9,0.05,0.03,0.07,0.29,0.77,0.77,0.174,0.85,7.29,0.32,0.04,0.06,0.09
0.02,21.69,0.06,0.01,0.05,1.32,0.0,0.56,0.049,0.7,5.78,0.65,0.06,0.08,0.0
0.02,11.83,0.01,0.01,0.65,1.78,0.0,0.75,0.153,0.94,10.05,1.38,0.01,0.03,0.07
0.07,6.92,0.08,0.05,0.06,0.67,0.0,0.003,0.007,0.74,1.44,0.68,0.09,0.0,0.07
0.09,22.74,0.02,0.005,7.75,0.28,0.19,0.0,0.137,1.36,18.1,6.93,0.1,0.26,0.02
0.09,13.98,0.09,0.08,0.05,0.82,0.29,0.005,0.198,1.73,6.28,4.67,0.06,0.01,0.04
0.08,23.74,0.06,0.02,0.61,0.09,0.0,0.002,0.059,0.32,5.08,0.19,0.03,0.04,0.06
1.0,15.72,0.02,0.001,3.16,0.67,0.0,0.0,0.123,1.72,5.54,0.32,0.03,0.06,0.01
0.07,2.7,0.04,0.02,0.27,0.09,0.0,0.007,0.132,0.95,0.09,3.05,0.06,0.04,0.04
0.03,1.16,0.02,0.09,0.06,0.6,0.79,0.79,0.164,1.29,1.08,1.73,0.06,0.08,0.04
0.02,26.28,0.07,0.08,0.1,1.56,0.07,0.001,0.044,0.65,4.99,4.82,0.04,0.03,0.03
0.05,12.12,0.31000000000000005,0.01,2.28,0.56,0.64,0.64,0.18,1.23,22.21,0.3,0.09,0.01,0.09
0.04,1.03,0.09,0.02,0.08,0.85,0.0,0.9,0.154,0.51,0.41,3.98,0.03,0.06,0.0
0.0,4.25,0.08,0.01,0.59,1.23,0.0,0.0,0.12,1.31,6.08,0.89,0.07,0.04,0.03
0.05,6.22,0.001,0.001,1.39,0.03,0.09,0.0,0.165,1.5,11.39,3.86,0.01,0.43,0.0
0.03,25.08,0.21,0.04,5.16,0.08,0.62,0.62,0.022,1.97,15.67,7.79,0.04,0.43,0.01
1.0,21.92,0.02,0.004,2.12,1.47,0.83,0.83,0.026,1.49,3.98,6.65,0.1,0.18,0.09
0.02,8.99,0.08,0.0,0.01,0.99,0.02,0.006,0.004,0.61,1.24,0.8,0.02,0.05,0.01
0.08,9.2,0.06,0.03,0.05,0.06,0.0,0.53,0.075,0.42,0.99,2.88,0.05,0.07,0.09
0.01,19.21,0.31000000000000005,0.04,8.37,1.84,0.92,0.92,0.142,1.44,12.95,5.84,0.02,0.38,0.09
0.1,8.99,0.07,0.04,0.25,0.01,0.43,0.002,0.185,0.28,13.47,0.22,0.05,0.04,0.08
1.0,8.14,0.31000000000000005,0.12,1.5,1.89,0.0,0.0,0.011,1.9,23.73,5.78,0.08,0.04,0.07
0.03,24.51,0.03,0.05,0.08,0.08,0.0,0.67,0.089,0.2,6.85,3.83,0.1,0.04,0.07
0.09,2.1,0.09,0.01,0.28,0.28,0.06,0.005,0.048,0.38,0.14,0.41,0.08,0.02,0.03
0.08,14.36,0.05,0.05,0.08,0.26,0.34,0.004,0.05,1.16,0.33,0.11,0.03,0.06,0.04
0.01,0.18,0.0,0.09,0.45,0.06,0.0,0.0,0.016,1.76,0.26,7.51,0.04,0.06,0.01
0.08,18.89,0.02,0.08,0.01,1.48,0.74,0.74,0.074,1.68,9.2,0.8,0.05,0.02,0.03
0.03,23.0,0.01,0.007,6.15,1.82,0.22,0.008,0.017,1.73,21.54,0.74,0.0,0.35,0.06
0.08,17.92,0.31000000000000005,0.04,5.37,0.62,0.23,0.006,0.12,1.33,11.14,5.77,0.01,0.03,0.07
0.08,8.97,0.0,0.1,0.03,0.09,0.0,0.0,0.121,1.45,5.09,7.55,0.1,0.04,0.03
0.04,27.79,0.07,0.01,0.18,1.4,0.3,0.003,0.142,1.2,2.35,4.68,0.05,0.06,0.02
0.02,7.02,0.1,0.07,0.03,1.65,0.51,0.51,0.025,1.7,0.32,0.22,0.08,0.08,0.06
0.19,17.72,0.31000000000000005,0.12,7.06,0.11,0.61,0.61,0.059,2.61,28.8,6.56,0.1,0.06,0.05
0.1,2.97,0.08,0.06,0.42,1.75,0.0,0.008,0.177,0.63,2.11,0.19,0.01,0.01,0.08
0.03,20.34,0.02,0.09,0.14,0.87,0.0,0.0,0.195,2.32,0.11,6.11,0.06,0.08,0.02
0.01,24.65,0.07,0.07,0.55,0.93,0.35,0.004,0.198,0.91,0.73,0.01,0.06,0.03,0.0
0.09,1.48,0.05,0.02,0.18,0.07,0.0,0.0,0.135,2.15,0.37,5.16,0.06,0.01,0.0
0.02,18.87,0.31000000000000005,0.05,1.79,1.34,0.07,0.008,0.113,1.4,26.25,2.73,0.09,0.11,0.04
0.98,11.53,0.11,0.09,1.52,0.27,0.0,0.84,0.14,1.63,27.61,3.92,0.04,0.03,0.05
0.33,25.32,0.03,0.005,2.46,0.31,0.06,0.005,0.072,1.74,4.51,7.32,0.02,0.12,0.09
0.02,28.67,0.1,0.1,0.03,0.04,0.08,0.007,0.141,0.67,3.39,0.63,0.05,0.02,0.08
0.04,19.88,0.08,0.08,0.09,1.23,0.57,0.57,0.176,0.2,5.49,2.67,0.02,0.01,0.05
0.09,21.24,0.06,0.1,0.09,0.02,0.0,0.79,0.199,0.22,2.3,5.33,0.09,0.08,0.03
0.01,6.23,0.04,0.005,5.42,1.06,0.56,0.56,0.115,1.88,9.66,7.56,0.01,0.41,0.06
1.0,18.64,0.01,0.007,1.77,1.72,0.96,0.96,0.119,1.98,11.2,2.18,0.02,0.15,0.02
0.07,10.16,0.01,0.1,0.1,0.54,0.28,0.001,0.028,0.56,3.83,1.06,0.01,0.0,0.09
0.09,24.93,0.04,0.0,0.08,0.02,0.0,0.75,0.076,0.21,2.83,1.84,0.01,0.02,0.08
0.03,1.39,0.07,0.06,0.05,0.04,0.0,0.0,0.075,1.83,0.3,4.37,0.05,0.09,0.05
0.09,16.91,0.05,0.02,0.21,1.24,0.0,0.0,0.113,1.14,4.52,3.07,0.0,0.08,0.08
0.02,1.57,0.05,0.09,0.01,1.77,0.0,0.75,0.098,0.31,8.46,0.79,0.04,0.02,0.05
1.0,4.0,0.02,0.005,0.81,0.07,0.01,0.0,0.008,1.69,20.14,7.85,0.06,0.13,0.08
0.05,25.9,0.01,0.02,0.17,0.36,0.23,0.004,0.055,0.13,0.16,3.66,0.09,0.06,0.05
0.05,7.87,0.02,0.004,6.76,0.36,0.79,0.79,0.198,1.36,12.99,1.1,0.0,0.33,0.06
1.0,5.01,0.31000000000000005,0.1,0.38,0.18,0.0,0.008,0.081,2.12,53.74,2.77,0.03,0.43,0.03
0.01,4.07,0.06,0.02,0.05,1.3,0.98,0.98,0.156,1.39,2.96,2.81,0.05,0.09,0.0
1.0,28.85,0.01,0.008,1.37,0.72,0.37,0.007,0.153,1.59,0.58,2.14,0.1,0.49,0.09
0.06,28.34,0.07,0.0,0.09,0.02,0.0,0.003,0.064,0.66,7.54,4.7,0.06,0.05,0.01
0.98,1.64,0.31000000000000005,0.09,2.37,1.78,0.28,0.002,0.035,1.26,23.77,4.69,0.0,0.28,0.02
1.0,28.32,0.23,0.04,1.47,0.29,0.0,0.65,0.155,1.91,41.15,5.15,0.04,0.32,0.07
1.0,5.8,0.31000000000000005,0.12,3.8,1.33,0.0,0.002,0.168,2.43,39.05,2.28,0.05,0.28,0.05
